On a cuckoo search optimization approach towards feedback system identification,12,0,"Evolutionary Algorithms, Active Noise Control",10.1016/j.dsp.2014.05.008,Research article,NULL,NULL,NULL
An improved S-transform for time-frequency analysis,27,1,Electrical Engineering,10.1109/IADCC.2009.4809028,Research article,NULL,NULL,NULL
An information retrieval approach for automatically constructing software libraries,520,2,Software,10.1109/32.83915,Research article,NULL,NULL,NULL
An architecture for intelligent assistance in software development,123,3,Software,0-89791-216-0,Research article,NULL,NULL,NULL
Practical routing in delay tolerant networks,0,4,Mobile Computing,10.1109/TMC.2007.1016,Research article,NULL,NULL,NULL
Automated improvement of software architecture models for performance and other quality attributes,13,5,Software architecture optimization,978-3-86644-973-2,Thesis,Ralf Reussner,NULL,NULL
A levy interior search algorithm for chaotic system identification,0,6,System Identification,10.1007/978-3-319-19824-8_11,Research article,NULL,NULL,NULL
Latent Dirichlet Allocation,13713,7,Machine Learning,1532-4435,Research article,NULL,NULL,NULL
Top-k selection queries over relational databases: Mapping strategies and performance evaluation,299,8,Databases,10.1145/568518.568519,Research article,NULL,NULL,NULL
Method of building multidimensional workload-aware histograms,15,9,Databases,,Patent,NULL,US,US7007039 B2
